CH/C=O,CH/C-O-C,C=O/C-O-C,OMcat/C-O-C,SOC stock,SOC,pH,Clay,Silt,Sand,Skeleton,Elevation,Altitude difference,Downslope Distance Gradient,Slope,SAGA Wetness Index,Terrain Ruggedness Index,Flow accumulation,Stream Power Index,VDCN,CNBL,Profile curvature,Tangential curvature,General curvature,Total curvature,Aspect,Area,Length,Width,Coniferous forests,Beech forests,"Oak, hornbeam and chestnuts forests",Riparian vegetation,Cultivated fields,Anthropic areas,Bare surfaces / rocky outcrops,Sparce vegetation / in evolution,Meadows,Bushes and shrubs,Silicified Calcilutites and Silty Clays,Clays and Shales,Carbonate Turbidites,Ophiolitic/Sedimentary Breccias and Olistolites,Arenaceous-Pelitic Turbidites
0.067,0.021,0.306,0.994,73.201,1.915,7.595,30.132,44.588,25.281,16.175,557.238,208.639,82.657,12.824,7.243,0.301,769097.438,377.081,210.555,346.484,-0.000180,-0.000617,-0.001687,0.000032,214.096,1138020,2797,1361,0.068,0.000,0.500,0.000,0.196,0.106,0.000,0.000,0.010,0.120,0.149,0.011,0.549,0.000,0.290
0.075,0.052,0.689,2.012,68.598,1.806,7.259,32.875,43.436,23.689,13.466,612.423,266.828,131.714,12.443,7.454,0.293,1248393.125,733.623,254.927,358.066,-0.000205,-0.000517,-0.001611,0.000123,191.194,1223228,2869,1453,0.000,0.000,0.502,0.000,0.274,0.150,0.000,0.000,0.028,0.046,0.000,0.000,1.000,0.000,0.000
0.026,0.006,0.220,0.601,69.939,1.759,7.641,29.853,44.318,25.829,22.498,575.247,229.164,148.587,12.852,7.009,0.301,831661.125,325.618,207.791,367.827,-0.000110,-0.000523,-0.001325,0.000033,134.284,927148,2897,1651,0.191,0.000,0.179,0.006,0.450,0.032,0.000,0.028,0.033,0.082,0.197,0.000,0.751,0.000,0.051
0.056,0.017,0.296,0.708,70.076,1.758,7.635,29.874,44.241,25.885,22.759,583.527,219.101,119.552,12.942,7.001,0.303,1610542.500,302.216,215.034,368.926,-0.000147,-0.000525,-0.001407,0.000033,135.800,890576,2709,1648,0.174,0.000,0.186,0.004,0.465,0.029,0.000,0.029,0.035,0.078,0.179,0.000,0.782,0.000,0.039
0.039,0.013,0.322,1.428,79.243,2.059,7.394,28.012,42.920,29.068,21.109,776.929,424.865,781.308,12.178,7.341,0.286,32423422.000,459.689,154.792,622.214,-0.000216,-0.000416,-0.001373,0.000032,156.625,35506932,10373,8774,0.021,0.154,0.382,0.009,0.266,0.047,0.004,0.020,0.049,0.048,0.258,0.063,0.474,0.061,0.144
0.060,0.013,0.224,0.764,79.244,2.059,7.394,28.012,42.920,29.068,21.109,776.972,424.610,805.486,12.179,7.341,0.286,50041040.000,459.348,154.806,622.239,-0.000216,-0.000417,-0.001373,0.000032,156.627,35503595,10373,8774,0.021,0.154,0.382,0.009,0.266,0.047,0.004,0.020,0.049,0.048,0.258,0.063,0.474,0.061,0.144
0.074,0.034,0.465,1.655,66.653,1.758,7.675,30.588,43.474,25.938,20.934,592.529,237.889,745.360,17.316,6.561,0.427,584264.938,511.127,201.379,391.744,-0.000361,-0.000039,-0.000990,0.000058,133.063,1268826,2948,1207,0.081,0.000,0.284,0.005,0.291,0.037,0.000,0.143,0.014,0.146,0.188,0.117,0.617,0.000,0.078
0.037,0.012,0.325,1.435,79.714,2.071,7.383,27.914,42.899,29.186,21.115,784.211,430.339,780.119,11.998,7.365,0.281,55242876.000,530.546,153.278,631.026,-0.000211,-0.000434,-0.001395,0.000031,157.612,34201611,10773,8152,0.019,0.159,0.386,0.009,0.265,0.047,0.004,0.015,0.050,0.045,0.261,0.060,0.469,0.063,0.146
0.054,0.014,0.257,1.222,79.120,2.056,7.391,28.062,42.930,29.008,21.046,773.276,424.689,821.816,12.173,7.346,0.286,48238392.000,461.106,154.949,618.419,-0.000216,-0.000415,-0.001369,0.000032,157.236,36030417,10765,8774,0.021,0.151,0.383,0.009,0.267,0.048,0.004,0.019,0.049,0.049,0.255,0.067,0.476,0.060,0.142
0.059,0.021,0.360,0.433,75.213,1.937,6.813,32.868,43.617,23.515,12.826,600.494,246.871,650.925,12.729,7.570,0.297,145898.828,478.416,240.524,360.199,-0.000178,-0.000690,-0.001829,0.000050,237.331,298052,1783,562,0.000,0.000,0.700,0.000,0.180,0.077,0.000,0.000,0.035,0.009,0.000,0.012,0.988,0.000,0.000
0.044,0.015,0.335,0.830,71.590,1.777,7.691,30.167,44.812,25.020,19.663,607.636,243.011,520.868,12.868,7.025,0.302,1064949.500,334.803,202.797,404.869,-0.000109,-0.000373,-0.001039,0.000026,98.284,905040,2901,898,0.192,0.000,0.145,0.006,0.420,0.038,0.000,0.010,0.095,0.095,0.453,0.000,0.358,0.004,0.186
0.037,0.012,0.321,1.005,80.067,2.082,7.373,27.831,42.844,29.325,21.176,793.020,431.589,911.435,11.963,7.364,0.280,22936524.000,487.676,153.089,639.869,-0.000204,-0.000439,-0.001389,0.000031,158.851,32956574,10773,8141,0.015,0.165,0.393,0.008,0.260,0.047,0.004,0.015,0.049,0.043,0.253,0.062,0.473,0.065,0.147
0.067,0.023,0.348,1.878,75.317,1.926,7.626,30.325,43.623,26.052,29.328,605.079,158.932,258.835,13.365,7.429,0.316,254793.797,246.012,105.692,499.719,-0.000376,-0.001251,-0.003488,0.000040,113.004,336876,1719,657,0.000,0.000,0.527,0.000,0.252,0.028,0.000,0.041,0.044,0.108,0.098,0.000,0.902,0.000,0.000
0.040,0.009,0.234,0.764,77.646,1.987,7.493,29.183,43.732,27.085,24.280,802.652,356.503,289.672,12.000,7.361,0.282,14836558.000,441.311,144.667,658.053,-0.000208,-0.000445,-0.001413,0.000033,139.369,13708846,6897,4553,0.011,0.174,0.302,0.013,0.354,0.035,0.004,0.027,0.022,0.057,0.067,0.147,0.523,0.025,0.238
0.031,0.007,0.234,0.532,77.584,1.985,7.497,29.218,43.731,27.051,24.399,797.066,356.257,171.054,12.039,7.366,0.282,25751156.000,428.186,143.395,653.736,-0.000215,-0.000468,-0.001474,0.000033,138.636,14086517,6901,4576,0.011,0.169,0.307,0.013,0.352,0.035,0.004,0.027,0.023,0.058,0.068,0.143,0.534,0.024,0.232
0.025,0.006,0.253,0.384,87.620,2.240,6.928,26.048,42.999,30.953,22.812,985.481,281.647,145.185,13.217,7.266,0.312,4303489.500,439.283,138.518,846.907,-0.000241,-0.000523,-0.001678,0.000045,125.395,3344310,3091,2666,0.000,0.547,0.242,0.004,0.154,0.005,0.010,0.004,0.022,0.011,0.218,0.000,0.178,0.060,0.544
0.047,0.006,0.125,0.174,79.540,2.049,7.623,30.142,44.628,25.230,19.489,986.293,270.133,72.151,13.298,7.596,0.312,822673.125,318.161,247.925,737.538,-0.000505,-0.000896,-0.003021,0.000044,99.551,773324,2956,1447,0.000,0.419,0.153,0.024,0.294,0.041,0.000,0.039,0.022,0.007,0.000,0.277,0.290,0.000,0.433
0.016,0.004,0.235,0.267,85.212,2.186,7.092,27.012,43.288,29.700,22.199,976.977,280.621,110.369,13.162,7.316,0.311,4675737.500,421.870,158.417,819.008,-0.000296,-0.000591,-0.001935,0.000044,120.164,4331033,3664,3143,0.000,0.498,0.222,0.009,0.201,0.016,0.008,0.010,0.022,0.015,0.168,0.070,0.218,0.046,0.497
0.005,0.001,0.219,0.233,83.775,2.155,7.153,27.406,43.336,29.258,22.577,950.598,324.816,106.584,12.897,7.338,0.304,3385971.000,508.990,146.142,804.524,-0.000300,-0.000543,-0.001838,0.000042,119.498,4810078,3855,3302,0.000,0.448,0.226,0.013,0.203,0.025,0.007,0.009,0.049,0.020,0.152,0.063,0.282,0.042,0.462
0.012,0.002,0.134,0.166,72.609,1.987,7.676,30.411,44.509,25.080,15.165,800.623,138.922,63.158,12.288,6.876,0.288,1322597.875,199.227,168.791,632.125,-0.000291,-0.000309,-0.001271,0.000039,100.368,755104,2442,703,0.067,0.000,0.319,0.027,0.120,0.039,0.000,0.115,0.007,0.306,0.000,0.781,0.059,0.001,0.159
0.045,0.009,0.209,0.377,68.778,1.864,7.630,31.488,43.493,25.019,26.445,708.783,154.060,146.522,12.611,7.619,0.298,974577.250,186.473,135.167,573.549,-0.000293,-0.000526,-0.001828,0.000026,194.311,946327,1611,1246,0.000,0.000,0.452,0.000,0.276,0.040,0.000,0.155,0.000,0.077,0.000,0.013,0.987,0.000,0.000
0.054,0.011,0.206,0.542,77.930,2.033,7.533,30.061,43.046,26.893,27.656,817.363,258.514,158.302,11.815,7.332,0.278,1363845.500,335.244,108.368,708.446,-0.000196,-0.000367,-0.001209,0.000032,147.448,1756938,4111,1560,0.000,0.129,0.486,0.000,0.238,0.033,0.013,0.044,0.017,0.039,0.075,0.064,0.722,0.069,0.070
0.039,0.007,0.174,0.559,74.727,1.974,7.569,30.572,43.203,26.224,27.254,778.513,224.489,111.458,12.110,7.436,0.285,4809147.500,287.027,117.649,660.924,-0.000233,-0.000430,-0.001450,0.000030,164.717,2708169,4488,1883,0.000,0.084,0.475,0.000,0.251,0.035,0.008,0.083,0.011,0.052,0.049,0.046,0.815,0.045,0.045
0.012,0.002,0.131,0.176,80.775,2.110,7.258,28.103,43.436,28.461,21.709,911.464,355.884,218.384,12.707,7.270,0.299,8748134.000,529.348,141.346,770.204,-0.000302,-0.000506,-0.001756,0.000042,116.310,5942198,4393,3394,0.009,0.363,0.229,0.019,0.204,0.048,0.005,0.022,0.041,0.061,0.123,0.150,0.299,0.034,0.394
0.027,0.006,0.208,0.550,77.248,1.878,7.741,29.792,44.609,25.599,25.245,782.097,222.392,159.455,10.371,7.419,0.240,1573996.000,230.777,195.234,587.438,-0.000074,-0.000310,-0.000795,0.000025,152.265,1539560,3314,1542,0.002,0.002,0.282,0.017,0.620,0.018,0.000,0.000,0.000,0.058,0.000,0.632,0.145,0.001,0.221
0.029,0.004,0.139,0.206,80.022,2.062,7.358,28.452,43.674,27.874,22.433,883.991,331.260,140.234,12.227,7.295,0.287,10977707.000,487.490,152.038,732.040,-0.000232,-0.000473,-0.001525,0.000038,123.899,7502923,5290,3416,0.007,0.288,0.239,0.019,0.291,0.042,0.004,0.018,0.032,0.060,0.097,0.249,0.270,0.027,0.358
0.011,0.002,0.165,0.201,78.577,2.037,7.417,29.043,43.549,27.407,23.713,853.505,314.962,356.239,12.196,7.345,0.286,18451748.000,432.556,141.589,711.492,-0.000243,-0.000446,-0.001497,0.000036,134.769,10312508,4824,4724,0.005,0.231,0.302,0.015,0.283,0.040,0.005,0.035,0.026,0.058,0.084,0.193,0.420,0.031,0.272
0.013,0.002,0.148,0.195,78.231,2.017,7.440,29.068,43.581,27.351,23.666,843.729,311.160,269.493,12.116,7.350,0.284,14825033.000,422.720,143.761,699.737,-0.000233,-0.000432,-0.001439,0.000035,135.998,11075016,5188,4553,0.005,0.215,0.288,0.014,0.321,0.040,0.005,0.032,0.025,0.056,0.078,0.180,0.443,0.029,0.271
0.013,0.002,0.175,0.219,78.581,2.037,7.418,29.048,43.549,27.402,23.716,852.873,318.639,323.687,12.185,7.347,0.286,5914340.500,432.118,141.342,711.128,-0.000243,-0.000445,-0.001493,0.000036,134.940,10334515,4824,4724,0.005,0.231,0.302,0.015,0.283,0.040,0.005,0.034,0.026,0.058,0.083,0.193,0.421,0.031,0.272
0.056,0.016,0.276,0.888,78.809,2.049,7.399,28.096,42.940,28.964,21.060,766.671,423.036,677.321,12.157,7.351,0.286,71601616.000,458.357,153.886,612.870,-0.000214,-0.000406,-0.001348,0.000032,156.612,36813929,10765,8774,0.021,0.148,0.378,0.009,0.267,0.048,0.004,0.021,0.049,0.055,0.250,0.074,0.477,0.059,0.140
0.033,0.007,0.208,0.480,77.576,1.985,7.498,29.228,43.730,27.042,24.428,795.299,355.979,146.088,12.014,7.369,0.282,25763094.000,422.682,142.844,652.361,-0.000217,-0.000461,-0.001463,0.000033,138.606,14184681,6901,4576,0.011,0.168,0.310,0.013,0.351,0.035,0.004,0.027,0.023,0.058,0.068,0.142,0.536,0.024,0.230
0.052,0.016,0.312,1.286,78.804,2.049,7.399,28.101,42.940,28.958,21.051,766.181,422.547,670.323,12.160,7.350,0.286,71838832.000,457.825,153.754,612.510,-0.000214,-0.000406,-0.001347,0.000032,156.682,36863507,10765,8774,0.021,0.148,0.378,0.009,0.267,0.048,0.004,0.021,0.049,0.055,0.250,0.074,0.478,0.059,0.140
0.051,0.019,0.369,2.070,78.809,2.049,7.399,28.096,42.940,28.964,21.060,766.680,423.044,684.320,12.157,7.351,0.286,71423672.000,458.367,153.890,612.877,-0.000214,-0.000406,-0.001348,0.000032,156.616,36813129,10765,8774,0.021,0.148,0.378,0.009,0.267,0.048,0.004,0.021,0.049,0.055,0.250,0.074,0.477,0.059,0.140
0.017,0.004,0.241,0.385,77.877,1.996,7.480,29.145,43.721,27.134,24.176,816.216,344.072,366.615,12.042,7.363,0.283,14098439.000,415.445,147.381,668.840,-0.000218,-0.000455,-0.001455,0.000034,138.773,13020346,6585,4553,0.012,0.183,0.298,0.013,0.344,0.036,0.005,0.028,0.023,0.058,0.071,0.154,0.498,0.026,0.251
0.048,0.016,0.345,0.846,75.777,1.890,7.700,29.694,44.847,25.459,27.770,735.111,210.458,81.641,12.052,7.319,0.283,935193.625,328.316,248.290,486.669,-0.000184,-0.000800,-0.002076,0.000036,158.148,958408,2384,1381,0.101,0.002,0.403,0.011,0.391,0.002,0.004,0.011,0.033,0.042,0.061,0.006,0.754,0.013,0.166
0.049,0.012,0.246,0.961,75.351,1.872,7.711,29.600,44.738,25.661,27.462,712.382,216.944,117.290,11.880,7.337,0.278,725875.125,327.692,227.919,484.828,-0.000172,-0.000783,-0.002012,0.000033,158.323,1110467,2658,1362,0.087,0.002,0.365,0.013,0.434,0.004,0.003,0.010,0.028,0.054,0.053,0.011,0.776,0.011,0.148
0.024,0.005,0.222,0.342,88.233,2.261,6.863,25.783,42.930,31.287,22.572,997.789,288.330,107.493,13.355,7.258,0.315,3129389.750,448.807,143.510,854.060,-0.000247,-0.000506,-0.001665,0.000045,126.712,3084193,3049,2645,0.000,0.585,0.243,0.002,0.119,0.001,0.011,0.005,0.024,0.011,0.236,0.000,0.169,0.065,0.530
0.028,0.006,0.215,0.377,73.299,1.732,7.765,29.290,44.078,26.631,22.859,732.289,193.551,260.518,11.324,7.468,0.262,486746.250,175.788,191.407,540.028,-0.000087,-0.000320,-0.000833,0.000020,147.412,665248,2137,802,0.000,0.000,0.081,0.000,0.867,0.046,0.000,0.000,0.000,0.006,0.000,0.000,0.783,0.000,0.217
0.010,0.002,0.176,0.275,78.043,2.008,7.451,29.062,43.615,27.324,23.746,836.693,310.549,103.754,12.038,7.365,0.282,8595052.000,418.085,143.399,693.084,-0.000229,-0.000423,-0.001409,0.000034,136.442,11475281,5619,4553,0.005,0.208,0.284,0.013,0.334,0.040,0.005,0.031,0.024,0.057,0.075,0.173,0.453,0.028,0.270
0.021,0.003,0.155,0.334,78.140,2.009,7.456,29.095,43.618,27.287,23.844,829.410,345.044,284.370,12.064,7.364,0.283,14489108.000,418.493,140.889,688.500,-0.000231,-0.000426,-0.001426,0.000034,136.988,11765419,5648,4553,0.005,0.203,0.291,0.013,0.333,0.039,0.005,0.031,0.023,0.058,0.073,0.169,0.467,0.028,0.264
0.034,0.008,0.244,0.996,81.075,2.112,7.363,27.718,42.688,29.594,21.561,822.396,424.101,513.133,11.934,7.373,0.279,39099608.000,411.548,148.513,673.862,-0.000214,-0.000460,-0.001452,0.000030,152.837,28748494,8353,8290,0.013,0.190,0.377,0.009,0.245,0.049,0.005,0.015,0.054,0.044,0.239,0.071,0.474,0.075,0.141
0.043,0.010,0.239,1.070,80.777,2.101,7.373,27.767,42.731,29.502,21.630,816.303,421.963,667.082,11.931,7.370,0.279,54894800.000,407.502,149.878,666.374,-0.000209,-0.000460,-0.001439,0.000030,152.429,29638706,8353,8290,0.013,0.184,0.377,0.008,0.252,0.048,0.004,0.015,0.053,0.046,0.241,0.069,0.479,0.073,0.138
0.037,0.009,0.244,0.695,79.457,2.114,6.736,23.889,40.661,35.450,20.281,675.014,274.568,268.738,12.337,7.350,0.285,355861.563,286.988,234.596,436.479,-0.000175,-0.000524,-0.001451,0.000039,260.144,224405,2358,474,0.000,0.000,0.961,0.000,0.018,0.000,0.000,0.000,0.021,0.000,0.769,0.000,0.231,0.000,0.000
0.044,0.013,0.285,1.136,80.763,2.101,7.367,27.720,42.709,29.571,21.621,814.216,421.884,735.923,11.931,7.372,0.279,37467308.000,411.495,150.361,663.969,-0.000209,-0.000464,-0.001448,0.000030,153.510,29940379,8816,8141,0.013,0.182,0.382,0.008,0.250,0.048,0.004,0.015,0.053,0.045,0.246,0.068,0.477,0.072,0.137
0.032,0.008,0.236,0.722,80.394,2.091,7.372,27.772,42.731,29.497,21.488,801.387,419.315,198.154,11.905,7.368,0.278,58973064.000,438.842,150.216,651.122,-0.000202,-0.000456,-0.001413,0.000030,155.879,31515499,9784,8141,0.014,0.173,0.387,0.008,0.256,0.048,0.004,0.014,0.052,0.044,0.258,0.065,0.473,0.068,0.136
0.045,0.012,0.272,0.724,75.117,1.973,7.326,28.692,43.115,28.193,16.660,630.028,243.035,418.999,10.860,7.565,0.253,686509.063,400.058,213.581,417.416,-0.000097,-0.000457,-0.001175,0.000034,226.974,777304,2924,952,0.000,0.000,0.577,0.000,0.296,0.060,0.000,0.000,0.057,0.009,0.635,0.000,0.134,0.000,0.231
0.046,0.007,0.162,0.331,89.298,2.578,6.857,21.535,37.981,40.484,22.585,1095.087,207.825,121.395,13.853,7.105,0.329,836776.250,263.297,171.525,923.426,-0.000366,-0.000732,-0.002494,0.000038,96.436,1088545,2082,1457,0.000,0.560,0.057,0.000,0.045,0.044,0.054,0.010,0.170,0.060,0.068,0.000,0.641,0.291,0.000
0.011,0.002,0.202,0.175,105.404,2.905,6.462,15.177,34.875,49.948,19.560,1069.637,173.446,86.481,12.839,7.103,0.301,2262940.500,279.241,67.681,1001.743,-0.000571,-0.000566,-0.002443,0.000039,158.408,1003981,1993,1458,0.009,0.762,0.001,0.000,0.000,0.002,0.000,0.003,0.127,0.098,0.604,0.000,0.051,0.345,0.000
0.016,0.003,0.179,0.214,103.066,2.846,6.564,16.537,35.588,47.876,20.504,1055.094,196.970,59.347,12.520,7.187,0.294,519626.719,316.795,64.629,990.192,-0.000551,-0.000605,-0.002472,0.000036,152.888,1119078,2226,1459,0.010,0.688,0.018,0.000,0.000,0.023,0.000,0.002,0.166,0.093,0.545,0.000,0.142,0.313,0.000
0.041,0.010,0.237,0.488,95.503,2.607,6.883,20.783,38.605,40.612,23.832,1000.306,249.494,103.242,12.493,7.146,0.293,3282163.750,402.441,106.237,893.853,-0.000366,-0.000477,-0.001856,0.000036,121.540,4042902,3219,3083,0.044,0.403,0.267,0.002,0.065,0.037,0.015,0.006,0.111,0.049,0.321,0.000,0.475,0.205,0.000
0.014,0.003,0.183,0.295,93.800,2.532,6.849,21.583,38.233,40.184,15.889,991.737,300.853,151.059,11.710,7.335,0.273,228223.469,302.900,166.578,824.493,-0.000180,-0.000395,-0.001249,0.000024,120.650,1217868,3533,1331,0.011,0.634,0.322,0.000,0.000,0.001,0.002,0.012,0.013,0.006,0.734,0.000,0.000,0.190,0.077
0.027,0.006,0.219,0.495,95.129,2.598,6.877,20.618,38.700,40.682,23.827,987.418,290.670,183.237,12.453,7.169,0.293,3376258.250,425.627,102.703,885.023,-0.000335,-0.000464,-0.001752,0.000035,119.326,4296975,3642,3083,0.050,0.379,0.293,0.005,0.065,0.038,0.014,0.006,0.104,0.046,0.347,0.000,0.460,0.192,0.000
0.021,0.005,0.237,0.502,93.578,2.534,6.975,21.566,39.420,39.015,24.571,967.814,277.763,173.334,12.262,7.201,0.287,4633633.000,418.684,103.871,863.949,-0.000312,-0.000477,-0.001724,0.000034,120.446,4854132,3847,3139,0.044,0.336,0.303,0.004,0.119,0.039,0.012,0.005,0.093,0.045,0.308,0.000,0.521,0.170,0.000
0.033,0.007,0.204,0.584,93.580,2.532,6.952,21.596,39.195,39.209,22.827,971.823,287.377,183.014,12.143,7.231,0.285,6190603.500,375.725,116.122,855.692,-0.000296,-0.000447,-0.001624,0.000032,120.636,6089304,3847,3485,0.037,0.395,0.307,0.003,0.095,0.031,0.010,0.007,0.077,0.038,0.393,0.000,0.418,0.174,0.015
0.030,0.011,0.367,0.822,70.228,1.744,7.738,28.678,44.471,26.851,21.924,523.520,174.095,113.675,12.397,7.181,0.287,824525.875,206.884,176.189,347.628,-0.000036,-0.000464,-0.001039,0.000020,139.700,472582,1838,814,0.229,0.000,0.090,0.008,0.576,0.028,0.011,0.000,0.027,0.031,0.676,0.000,0.319,0.005,0.000
0.031,0.008,0.277,0.910,71.276,1.778,7.677,30.027,45.832,24.141,18.571,505.895,134.814,65.036,14.105,6.882,0.330,200489.766,174.720,176.013,329.811,0.000036,-0.000714,-0.001412,0.000030,126.793,524763,1357,953,0.340,0.000,0.141,0.000,0.492,0.011,0.000,0.000,0.000,0.015,0.122,0.203,0.024,0.000,0.650
0.037,0.012,0.318,1.215,85.104,2.256,7.214,26.129,41.614,32.257,18.539,866.888,455.231,274.040,11.885,7.385,0.277,12706450.000,406.292,159.017,707.728,-0.000220,-0.000484,-0.001513,0.000028,166.709,13904613,7730,4952,0.016,0.220,0.447,0.003,0.125,0.061,0.005,0.003,0.087,0.031,0.404,0.002,0.408,0.129,0.056
0.025,0.005,0.184,0.389,79.236,2.121,6.560,20.425,40.311,39.264,20.700,600.599,182.812,170.647,12.050,8.007,0.279,273691.063,374.315,163.185,437.037,-0.000127,-0.001257,-0.002886,0.000031,269.403,235656,1715,437,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
0.042,0.012,0.300,1.179,85.225,2.258,7.225,26.229,41.637,32.134,18.499,871.681,452.294,111.051,11.876,7.374,0.277,22197400.000,405.614,159.038,712.575,-0.000222,-0.000469,-0.001486,0.000028,164.956,13663863,7441,4915,0.017,0.224,0.437,0.004,0.127,0.062,0.005,0.003,0.089,0.032,0.394,0.002,0.416,0.132,0.057
0.015,0.003,0.189,0.310,96.114,2.701,6.731,19.260,36.950,43.790,21.778,1069.186,223.831,114.862,13.137,7.157,0.310,2791590.250,338.193,115.170,954.423,-0.000449,-0.000672,-0.002463,0.000038,125.017,2265251,2875,2470,0.006,0.609,0.051,0.000,0.028,0.035,0.026,0.006,0.165,0.075,0.303,0.000,0.403,0.294,0.000
0.047,0.008,0.166,0.271,87.269,2.245,7.549,31.482,44.231,24.288,13.835,900.142,133.013,85.339,10.896,7.745,0.253,539105.000,285.099,168.285,732.286,-0.000184,-0.001246,-0.002947,0.000025,195.212,330760,1739,705,0.000,0.254,0.737,0.000,0.000,0.001,0.000,0.000,0.009,0.000,0.671,0.000,0.000,0.309,0.020
0.033,0.005,0.147,0.116,82.796,2.220,7.580,30.969,44.239,24.792,15.200,813.284,44.678,71.265,13.005,6.975,0.303,18038.832,75.166,114.342,700.056,-0.000657,-0.001520,-0.004637,0.000045,245.685,45868,331,316,0.000,0.000,0.991,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.432,0.000,0.000,0.568,0.000
0.019,0.004,0.219,0.269,94.362,2.549,6.826,21.374,37.899,40.727,15.598,1010.011,239.510,104.673,11.931,7.344,0.279,903959.750,285.427,175.821,834.042,-0.000194,-0.000442,-0.001366,0.000024,119.738,1116301,3077,1331,0.007,0.692,0.278,0.000,0.000,0.000,0.002,0.013,0.002,0.006,0.710,0.000,0.000,0.206,0.084
0.052,0.013,0.241,1.107,86.750,2.303,7.232,26.290,41.612,32.098,17.971,901.414,277.046,339.528,11.647,7.396,0.272,11564630.000,382.729,163.145,738.199,-0.000232,-0.000447,-0.001453,0.000027,160.594,11975133,7167,3863,0.190,2.558,4.165,0.034,1.069,0.602,0.051,0.033,1.000,0.296,0.330,0.002,0.462,0.145,0.061
0.036,0.012,0.321,1.400,80.324,2.075,7.412,31.602,43.994,24.405,7.720,859.752,226.377,367.476,11.236,7.566,0.261,2471917.250,360.734,286.843,573.109,-0.000136,-0.000292,-0.000903,0.000022,238.374,2871052,2645,2148,0.000,0.108,0.479,0.000,0.067,0.115,0.000,0.000,0.222,0.010,0.120,0.009,0.630,0.084,0.157
0.046,0.013,0.272,0.788,81.756,2.081,7.581,31.445,44.000,24.555,14.160,806.651,173.061,365.438,10.001,7.648,0.232,231967.719,150.499,182.694,623.780,-0.000180,-0.000549,-0.001513,0.000015,193.139,550187,2723,783,0.000,0.086,0.705,0.000,0.156,0.002,0.000,0.000,0.034,0.017,0.313,0.000,0.186,0.387,0.114
0.020,0.005,0.225,0.446,89.693,2.407,7.138,24.052,40.569,35.379,21.591,926.210,296.225,354.355,11.935,7.303,0.279,5189865.000,392.635,120.849,805.335,-0.000267,-0.000478,-0.001606,0.000030,132.299,8372093,5150,3746,0.027,0.323,0.377,0.005,0.111,0.043,0.007,0.005,0.064,0.038,0.409,0.000,0.412,0.153,0.025
0.040,0.007,0.182,0.537,91.253,2.458,7.066,23.029,40.016,36.955,22.439,940.782,296.950,337.967,12.020,7.280,0.281,10205627.000,410.669,114.128,826.693,-0.000282,-0.000472,-0.001630,0.000031,127.566,7292321,4696,3486,0.031,0.341,0.351,0.004,0.106,0.041,0.008,0.005,0.070,0.042,0.394,0.000,0.428,0.164,0.014
0.049,0.011,0.213,0.531,84.639,2.169,7.572,31.406,44.581,24.013,13.106,919.625,272.691,215.941,11.900,7.338,0.277,180701.875,307.042,234.809,685.126,-0.000159,-0.000725,-0.001837,0.000028,146.234,432591,2660,660,0.000,0.449,0.500,0.000,0.020,0.001,0.000,0.000,0.028,0.002,0.671,0.000,0.069,0.046,0.214
0.040,0.010,0.242,0.641,90.322,2.422,7.123,23.920,40.493,35.587,21.580,931.819,296.107,396.184,11.973,7.285,0.280,6701451.500,407.563,122.550,809.406,-0.000265,-0.000492,-0.001629,0.000030,132.041,8192666,4887,3746,0.028,0.330,0.384,0.004,0.101,0.037,0.007,0.005,0.065,0.039,0.418,0.000,0.399,0.157,0.026
0.041,0.014,0.336,0.871,85.741,2.272,7.235,26.261,41.620,32.119,18.224,883.642,388.604,114.509,11.759,7.381,0.275,9551324.000,382.839,158.019,725.609,-0.000226,-0.000446,-0.001444,0.000027,163.491,12928335,7167,4272,0.018,0.237,0.419,0.004,0.126,0.063,0.005,0.003,0.094,0.032,0.366,0.002,0.435,0.139,0.058
0.093,0.022,0.241,1.341,76.943,2.066,6.657,22.666,41.142,36.192,20.774,757.739,255.727,45.634,15.415,7.107,0.370,749286.688,353.911,271.414,486.858,-0.000211,-0.001122,-0.002934,0.000049,286.448,403217,1777,696,0.000,0.001,0.873,0.000,0.060,0.008,0.012,0.008,0.006,0.032,0.864,0.000,0.058,0.010,0.067
0.067,0.017,0.251,1.300,85.451,2.265,7.217,26.141,41.601,32.258,18.292,879.646,390.125,164.911,11.877,7.374,0.278,23655568.000,390.914,161.289,718.239,-0.000224,-0.000470,-0.001492,0.000028,166.922,13346434,7491,4321,0.017,0.230,0.433,0.004,0.124,0.061,0.005,0.003,0.091,0.032,0.101,0.001,0.112,0.036,0.016
